identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000731,"Mountain View Grammar School, 1900",1900-01-01,Unknown,"Mountain View Grammar School. Mountain View, California.",PHA S10,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000732,"Mountain View Grammar School, 5th grade, 1900",1900-01-01,Unknown,"Mountain View School 5th grade, Miss Edna Lauer, teacher. Alpha Stevens, 2nd row down, first girl on left. Mountain View, California.",PHA S10,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000733,"Mountain View Grammar School, 1897",1897-01-01,Unknown,"Mountain View Grammar School, 6th and 7th grades, Janet Cutter, teacher. Top row: Nathan Stone, Earl Woodis, Ida Martin, Kitty Corpstein, Janet Cutter (teacher), Georgie Rogers, Edith Hill, Edwin Croop;second row: Charlie Mockbee, Silas Stone, May Marten, May Watts, Sarah Wright, Inez Taylor, Fred Stone. Third row: Lester Swall, Arthur White, Leon Ruch, Alfred Marks, Gene Mockbee, Nellie Swall, Edna Higgins, Nellie Baird, Myrtle Higgins, Arthur Stone, Frank Weaver, George Jagels Jr. Fourth row: Fay Crawford, Bob Mockbee, Joe Watts, Annie Lind, Bertha California.vill, Nessie O'Connor, Annie McCormick, Olive Burke, Mattie Vineent, Edgar Green, and Gene Distel. Mountain View, California.",PHA S11 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000734,"Mountain View Grammar School, 1st grade, 1897",1897-12-01,Unknown,"Mountain View School, 1st grade. Alpha Stevens, bottom row, third from left. Mountain View, California.",PHA S11 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000735,"Mountain View Grammar School, 1897 Miss Halsey",1897-01-01,Unknown,"First grade, 1897, Miss Halsey, teacher. Merle Newnan Job, noted. Mountain View, California.",PHA S11 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000736,"Mountain View Grammar School, 2nd and 3rd grades, 1897",1897-01-01,Unknown,"Mountain View Elementary, 2nd and 3rd grade. Teacher Estella Barrows. Top row: Paul Sciarini, Fred Sinz, Joe Swartz, Ernest Hill, Vera Spicer, Clara Carter, Steve Bordi, Charlie Pearson, Leo Mason, James O'Connor, Manuel Menes. Third row: Sam Smith, Robert Stacy, Eugene Ash, Chester Mason, Frances Mercer, Jessie Lovejoy, Anna Jagels, Laura California.se, Lulu Watts, John Frances. Fourth row: Bill Garliepp, Ora Henderson, Julia Distel, Clara White, Josie Smirthwaite, Bessie Bates. Small girl in front is a visitor, Pearl True. Mountain View, California.",PHA S12 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000737,"Mountain View Grammar School, 1899, Mr. Brownell",1899-01-01,Unknown,"Mr. Brownell, Principal. Top row: Annie McCormick. Third row: Alice Whittemore, Norah Wright, Clara Watts, May Jennings. Second row: Arthur Stone, Leon Ruch, Anna Lind, Nellie Swall, Bertha Coville, Sarah Wright, Georgia Rogers, Louise Wagner. First row: Edna Higgins, Nellie Baird. Mountain View, California.",PHA S13 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000738,"Mountain View Grammar School, 1897 Halsey",1897-01-01,Unknown,"Teacher Clara Halsey. As you look at this from the left, the 7th pupil is Arthur Castro, next to Clara Halsey is Frank Waver, next marked by arrow is Lester Swall, Johnnie Conti, Fay Crawford, George Jagels, and Earl Woodis. 3rd row: next to pupil in black dress is May Marten, Annie McCormick, Nessie O'Connor, Ellen Kenny, and Kitty Corpstein, on the end Ktie Eurald. 2nd row: Alfred Macks, girl in white Nellie Swall, girl with black dress and ribbon in hair Emma Francis (who later became one of the first telephone girls), Nita Williams, Elizabeth Francis, girl in black Katie Ewald, Edgar Green, and Gene Distel. first row: Nellie Swall, Joe Watts, Leon Ruch. Mountain View, California.",PHA S14,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000739,"Mountain View Grammar School, 1899",1899-01-01,"Evans, O.B.","Eighth grade. First row: Sarah Wright, Bertha Coville, Nellie Swall;second row: Anna Lind. Third row: Georgia Rogers, Mr. Brownell (principal). Mountain View, California.",PHA S14 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000740,"Mountain View Grammar School 1899, Brownell",1899-01-01,Unknown,"Principal Elmer E. Brownell. Mountain View, California.",PHA S14 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
