identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000379,Rengstorff Home neglected in 1976,1976-01-01,"Yimm, Ken","1737 Stierlin Rd. In 1980, it was moved to Shoreline Park. Home was built in the late 1880s for the Henry Rengstorff family on one of their several farms. Mountain View, California.",PHA H21,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000380,Julia Richardson Home,,Unknown,"Julia Richardson home, came around by ship. Mountain View, California.",PHA H22 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000381,Secundino Robles Home,,Unknown,"The home of Secundino Robles on Rancho Rincon de San Francisquito, near Mountain View. Secundino built a two-story house on the ranch in the early 1850s. An open-air dance floor is said to have been used on the top floor, but as his family increased to twenty-nine children, the upstairs was needed for additional family rooms and so a roof was added.",PHA H22 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000382,"Thomas Rogers Home, bird's eye view",,Unknown,"Thomas Rogers Home, Hope St. Mountain View, California.",PHA H22,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000383,Thomas Rogers Home,,Unknown,"Home of Georgie Rogers, Hope Street (about the middle of the 300 block, between Dana and California. Sts.). Mountain View, California.",PHA H22,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000384,Georgie Rogers Swall and Companions,,Unknown,"Rogers home on Hope St. Mountain View, California.",PHA H22,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000385,"Thomas Rogers Home, blocked by trees",,Unknown,"Thomas Rogers Home, Hope St. Mountain View, California.",PHA H22,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000386,Thomas Rogers Home view of front,,Unknown,"Thomas Rogers Home, Hope St. Mountain View, California.",PHA H22,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000387,Snyder Home,,Unknown,"John Snyder Home and family members. Mountain View, California. The Snyder ranch was at the end of Grant Rd, in the hills.",PHA H23 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000388,Seebeck Home,,Unknown,"Villa and Bryant Sts. Mountain View, California.",PHA H23 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000389,Scranton House,,Unknown,"Scranton House, 700 block of Mariposa St. Mountain View, California. Built prior to the 1906 earthquake, razed in 1975. The Scrantons had a store on Castro St.",PHA 23 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000390,Schermerhorn Home,,Unknown,"Home at California. and Bryant Sts. Mountain View, California.",PHA H23 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000391,"Snyder Home, 1977",1977-01-01,Unknown,"Arthur Snyder home, 474 Oak St. Later occupied by Richard Webster. Mountain View, California.",PHA H23 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000392,Smith House,,Unknown,"Los Altos History House (formerly Smith home). Los Altos was incorporated after Mountain View, California.",PHA H23,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000393,Thomas Rogers Home with Georgia Rogers Swall,1897-01-01,Unknown,"Rogers residence, second block of Hope St (west side). Built in 1897. Georgia Rogers Swall (Mrs. Lester Swall) standing in front. Mountain View, California.",PHA H22 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000394,Swall Home,,Unknown,"Swall Home. Mountain View, California.",PHA H24,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000395,Stover Home,1922-01-01,"Hall, Clifford","Stover Home. Mountain View, California.",PHA H24 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000396,Rose tree in front of Stover home,1922-05-23,"Hall, Clifford","Rose tree in front of Stover home. Mountain View, California.",PHA H24,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000397,Stock-Halsey Home,,Unknown,"The Stock Halsey Home of Victorian architecture, 207 Mission St, Santa Cruz, California. This was the home of Mrs. Clara Halsey Taylor and Miss Alice Halsey, teachers in Santa Cruz. Clara taught in Mountain View for a time, married George Grant Taylor (son of S.P. Taylor), and became the mother of Clarence Grant Taylor. When the Taylors separated, Clara and her son went to live in Santa Cruz.",PHA H24,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000398,"Stover Home, family in front",1922-01-01,"Hall, Clifford","340 Palo Alto Ave. First owned by James and Susie Stover, then by Halls. Mountain View, California.",PHA H24 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000399,Stover Home,1922-01-01,"Hall, Clifford","Rose tree in front of Stover home. Mountain View, California.",PHA H24,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000400,Lester and Georgie Swall Home in color,,Unknown,"Berry Rd. Mountain View, California.",PHA H24,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000401,Lester and Georgie Swall Home,,Unknown,"Lester and Georgie (Rogers) Swall residence at 1189 Berry Rd. Mountain View, California. Built about 1937. Back of house. Now Los Altos, California.",PHA H24,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000402,Lester and Georgie Swall Home,,Unknown,"Lester and Georgie (Rogers) Swall residence at 1189 Berry Rd. Mountain View, California. Built about 1937. Front of house. Now Los Altos, California.",PHA H24 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000403,Lester and Georgie Swall Home,,Unknown,"Lester and Georgie (Rogers) Swall residence at 1189 Berry Rd. Mountain View, California. Built about 1937. Front of house. Now Los Altos, California.",PHA H24,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000404,Stover Home,1922-01-01,"Hall, Clifford","340 Palo Alto Ave. First owned by James and Susie Stover, then by Halls. Mountain View, California.",PHA H24,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000405,Stierlin Home,,Unknown,"The old Stierlin Home, on La Avenida Ave, off of Stierlin Rd. The Stierlin family were old pioneers and the road was named for them. Mountain View, California.",PHA H24 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000406,"Lester and Georgie Swall Home, 1905",,Unknown,"The second George Swall residence (224 Hope St) around the corner from the first one. This picture appeared in the Leader 4-14-1905. Later owned by N.H. McCorkle, at one time occupied by Lelia McCorkle Radisich and family. Built in 1901. Mountain View, California.",PHA H24 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000407,George Swall Home,,Unknown,"George Swall Home, 344 View St. Mountain View, California.",PHA H24 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000408,"George Swall Home, date unknown",,Unknown,"One of the George Swall homes. Built in 1888 at the SE corner of Villa and Hope Sts. Mountain View, California.",PHA H24 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000409,Mountain View Professional Men organization,1935-01-01,Unknown,"Mountain View Professional Men organization, spring 1935. Mountain View, California.",PHA O12 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000410,PTA Masquerade,,Unknown,"Bud and Bob Knight at piano. Mountain View, California.",PHA O13 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000411,Mountain View PTA,,Unknown,"Picnic on way to Santa Cruz to district PTA conference. Mrs. Hart, Mrs. Davis, others, having lunch. Mountain View, California.",PHA O13,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000412,State PTA Officers,,Unknown,"Dale, Dorsey, Sheehan, Bradford, Ewing, Painter, Davis, Hart. Mountain View, California.",PHA O13,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000413,Last Man's Club,1953-01-01,Unknown,"Last Man's Club. Mountain View, California.",PHA O15 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000414,Rotary Club,1963-08-06,Photo Lab NAS Moffett Field,"Rotary Club members of Mountain View and California.pt. GM Clifford, C.O. N.A.S. Moffett Field. Tour by Rotary Club members of NAS Operations, Moffett Field. Official US Navy Photograph, photo lab NAS Moffett Field",PHA O17 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000415,Mayfield Station,1886-01-01,Unknown,"Mayfield Station, showing 2:00p train from San Jose. Captain C.G. Myrick at mail car. Maurice Rosenblum at Wells Fargo Co., Rosenblum's horse and wagon. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000416,"Mayfield, CA",1886-01-01,Unknown,,,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000417,Erastus Burk,1897-01-01,"Ives, E.H.","Erastus Burk, father of Mary Julia Gates. Died 5-25-1897. Mountain View, California.",PHA P2 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000418,Dr. Frederick Burk,,Unknown,"Dr. Frederick Burk, president of San Francisco State College for 25 years. Dr. Burk was the brother of Mary Julia Gates. Mountain View, California.",PHA P2 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000419,Burk Family,,Unknown,"Mrs Rufus Burk (mother of Mary Julia Gates), Mr. and Mrs. Gates (Benjamin and Mary Julia), Mr. and Mrs. Coster and cousins. Mountain View, California.",PHA P2 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000420,Anna Campen,1890-01-01,Unknown,"Anna Campen. Mountain View, California.",PHA P3 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000421,Anna Campen and parasol,1890-01-01,Unknown,"Anna Campen. Mountain View, California.",PHA P3 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000422,"Anna Campen, seated",1890-01-01,Unknown,"Anna Campen. Mountain View, California.",PHA P3 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000423,Anna Campen,1890-01-01,Unknown,"Anna Campen. Mountain View, California.",PHA P3 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000424,Campen family,1890-01-01,Unknown,"Campen family members outside bakery, 170 Castro St. Fritz Campen Jr and Anna. Early 1900s. Mountain View, California.",PHA P3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000425,Campen Children,1890-01-01,Unknown,"Fritz and Anna Campen. Mountain View, California.",PHA P3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000426,Anna Campen,1890-01-01,"Metzger, G.","Anna Campen. Mountain View, California.",PHA P3 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000427,Anna Campen Salyer,1890-01-01,Unknown,"Anna Campen Salyer. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000428,Mr. and Mrs. Frederick Campen,1900-01-01,Unknown,"Mrs and Mrs Frederick Campen. Mountain View, California.",PHA P4 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000429,Campen Family,1900-01-01,Unknown,"Mrs. Frederick Campen, left, sitting position. Her son, Fritz Campen, is shown on the right standing in the back row. Mountain View, California.",PHA P3 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000430,Andrew Castro,1898-04-14,Unknown,"Yours truly, Andrew R. Castro, Richard Castillo, 4/14/1898. Mountain View, California.",PHA P6 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000431,Castro family,,Unknown,"Scene on front porch of second Castro house. Mountain View, California.",PHA P6 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000432,Castro Sisters,,Denninger's Studio,"Sue, Mercedes, and Alice in the Day of real Sport. Mountain View, California.",PHA P6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000433,Sue Castro at 3 yrs old,,Wright's Art and Portrait Gallery,"Mercedes Castro. Mountain View, California.",PHA P6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000434,C.R. Castro Jr.,1910-01-01,Unknown,"C.R. Castro Jr., Mountain View, California.",PHA P6 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000435,Crisanto Castro Jr.,1935-01-01,Unknown,"Crisanto Castro Jr, killed by car. Military funeral. Served in the Army 1918-1919. Mountain View, California.",PHA P6 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000436,Crisanto Castro Sr.,,Unknown,"Crisanto Castro Sr. Son of Mariano Castro and Maria Trinidad Peralta de Castro;born in 1828, married to Frances Armijo in 1867. Mountain View, California.",PHA P6 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000437,Francesca Armijo Castro,,Unknown,"Frances Armijo Castro, wife of Crisanto Castro, Sr. Mountain View, California.",PHA P6 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000438,Mercedes Castro,,Unknown,"Mercedes Castro. Mountain View, California.",PHA P6 9,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000439,Joseph R. Castro,,Unknown,"Joseph R. Castro. Mountain View, California.",PHA P6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000440,Albert Crittenden as a child,,Unknown,"Albert Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000441,Albert Crittenden and Olive Crittenden,,Unknown,"Albert Crittenden and Olive Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000442,"Albert Crittenden, Olive Crittenden",,Unknown,"Albert Crittenden and Olive Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000443,"Mr and Mrs Orrin Crittenden, circa 1870",1870-01-01,Unknown,"Mr. and Mrs. Orrin Crittenden. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000444,Virginia Crittenden,,"Schoene, H.","Virginia Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000445,George Crittenden,,"Schoene, H.","George Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000446,Rev. Orrin Crittenden and wife,1899-01-01,Unknown,"Rev. Orrin Crittenden and wife, April 6, 1899. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000447,Albert M. Crittenden,,Unknown,"Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000448,Mrs. Crittenden,,Unknown,"Mrs. Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000449,Elmer Crittenden,,Unknown,"Elmer Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000450,Virginia Crittenden,,Unknown,"Virginia Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000451,Rev. Orrin Crittenden,,Unknown,"Rev. Orrin Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000452,"Edgar Crittenden, 18 months old",,Franklin and Griffiths,"Edgar Crittenden, 18 months old. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000453,Edgar Crittenden,,Howland's Gallery,"Edgar Crittenden. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000454,"Virginia (in chair), Edgar Crittenden, Mrs Carey",,Unknown,"Virginia (in chair), Edgar Crittenden, Mrs. Carey. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000455,Mrs. Berthena M. Hester,1920-01-01,Unknown,"Mrs. Berthena M. Hester. Mountain View, California. High School teacher. Mountain View, California.",PHA P13 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000456,"Helen Cutter; her daughter, Janet Bailey; son, Eugene Cutter; Grandson, Allan B. Cutter",,Unknown,"Helen Cutter;her daughter, Janet Bailey;son, Eugene Cutter;grandson, Allan B. Cutter. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000457,Willis Hester,1920-01-01,Forsmark Studio,"Willis Hester, principal of Mountain View Union High School, 1918-1923. Mountain View, California.",PHA P13 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000458,"Willis Hester, studio pose",1920-01-01,Unknown,"Willis Hester, principal of Mountain View Union High School, 1918-1923. Mountain View, California.",PHA P13 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000459,Willis Hester as a NMMI cadet,1918-01-01,Unknown,"Willis E. Hester. Mountain View, California.",PHA P13 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000460,Willis Hester as an Army officer,1918-12-01,Unknown,"Willis E. Hester, 2nd Lt. Inf. USA. Principal of Mountain View Union High School in early 1920s. Mountain View, California.",PHA P13 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000461,George Freeman,,Oriental Photographic Parlors,"George Freeman (father of Eldora). Mountain View, California.",PHA P12 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000462,Leland Freeman,1914-01-01,Unknown,"Leland Freeman, WWI, Col. Married in 1918 to Grace (Gladys) Richardson in San Francisco. Daughter born in 1921 in SF. Mountain View, California.",PHA P12 7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000463,Emma Freeman,1900-01-01,Unknown,"Jack and Bob's darling grandmother, Emma Perrins Freeman, as a young woman. Mountain View, California.",PHA P12 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000464,Leland Freeman as child,1900-04-30,Unknown,"Leland Perrins Freeman. Mountain View, California.",PHA P12 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000465,George Freeman as a child,1935-01-01,Unknown,"George Freeman, Eldora's brother. Died at age 14. Mountain View, California.",PHA P12 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000466,"Freeman Family, 1895",1895-01-01,Unknown,"Where E. McCarty was born. Mountain View, California.",PHA P12 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000467,Freeman Family,1900-01-01,B. L. Atwood Photo,"The entire William Freeman family. Circle X = Emil Freeman. Mountain View, California.",PHA P12 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000468,Seligman Weilheimer,,Unknown,"Henry Weilheimer's father. Mountain View, California.",PHA P36 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000469,Otto and Edith (Housman) Zimmerman,1945-01-01,Unknown,"Otto and Edith (Housman) Zimmerman. Edith died 1986. Was a native of Watsonville, active as an interior designer in Palo Alto for more than twenty five years. President of the Palo Alto Women's Pilot Club. Sister Maude Pein and brother George Housman (from obituary). Mountain View, California.",PHA P36 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000470,Sophia Weilheimer,,Unknown,"Henry Weilheimer's mother. Mountain View, California.",PHA P36 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000471,"Manfredi, John; Backus, Herbert; Caviolli, Ray",,Unknown,"Manfredi, Backus, Caviolli. Mountain View, California.",PHA P14 10,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000472,Anna Manfredi,,Brandon Studio,"Anna Manfredi. Mountain View, California.",PHA P14 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000473,"Attilio ""Pots"" Manfredi",1932-12-24,Steiners Quality Photo Finishing,"Attilio ""Pots"" Manfredi. Mountain View, California.",PHA P14 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000474,J. V. Manfredi,,Unknown,"J. V. Manfredi crying because of dress. Mountain View, California.",PHA P14 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000475,Lucy Manfredi,1934-01-01,Unknown,"Lucy Manfredi. Mountain View, California.",PHA P14 9,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000476,Andrew and Victor Manfredi,1900-01-01,"Carruther's Studio, San Jose","Andrew and Victor Manfredi. Mountain View, California.",PHA P14 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000477,Bar at former Union Hotel on Castro Sr.,1904-01-01,Unknown,"Bar at former Union Hotel on Castro St. At left, Andrew Manfredi, Johnny (on the bar), Annie Manfredi. Mountain View, California.",PHA P14 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000478,Victorine and Attilio Manfredi,1910-01-01,Unknown,"Victorine Manfredi and son Attilio;Victorine was the wife of Victor Manfredi. She died on April 4, 1936. Picture shows Old Town, looking north across El Calmino Real about 1910. Building with For Sale sign was Musso Bar. Mountain View, California.",PHA P14 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000479,Andrew Manfredi,1900-01-01,Bushnell Fotographer,"Andrew Manfredi. Mountain View, California.",PHA P14 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000480,Barnet Job Family,1910-01-01,Unknown,"Beulah Job, Barney Job, Juliette Job, Merle Newman Job, Martha Judith Job. Probably taken in 1910-11 at the Job's new home on Grant Road. Mountain View, California.",PHA P13.3 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000481,Merle N. Job,1919-02-01,Unknown,"Merle N. Job (father of Ruth Job Erichsen). Mountain View, California.",PHA P13.3 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000482,Mrs. Child's Pumping Plant,1912-01-01,Unknown,"Merle N. Job - engineer, born 8/28/1890 in Mountain View, California. Father Barney Job, mother Juliette Neman Job (lived at corner of Levin Ave and Grant Rd).",PHA P13.3 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000483,Mrs. John (Eva Farr) Mockbee,,"Austin, San Jose","Mrs. John (Eva Farr) Mockbee. Mountain View, California.",PHA P18.5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000484,Mrs. J. W. Mockbee,,Vaughan's,"Mrs. J. W. Mockbee (Clarissa Boone). Mountain View, California.",PHA P18.5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000485,Earl H Mockbee (Bud),,Unknown,"Bud Mockbee, volunteer fireman. Mountain View, California.",PHA P18.5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000486,John Mockbee and Eva (Farr) Mockbee,,Denninger's Studio,"John Mockbee and Eva (Farr) Mockbee. Mountain View, California.",PHA P18.5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000487,Jacob Mockbee,1900-01-01,Bushnell Fotographer,"Jacob Mockbee. Mountain View, California.",PHA P18.5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000488,Jacob McCarty,,Unknown,"Jack McCarty. Mountain View, California.",PHA P16 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000489,Lloyd Mason with fireman's helmet,,Unknown,"Lloyd Mason. Mountain View, California.",PHA P15,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000490,Birthday party for Jack McCarty,1933-01-01,Tait Photo,"Jack McCarty is seen celebrating his birthday with friends. Almost 70 years later. Mountain View, California. celebrated its 100th birthday. Lived on Calderon.",PHA P15,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000491,Tom McCarty and Elmer Stricklett in Stevens Creek near bridge,,Unknown,"Tom McCarty and Elmer Stricklett in Stevens Creek near bridge. Mountain View, California.",PHA P16 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000492,Grandpa Luke McCarty,,"Carruther's Studio, San Jose","Grandpa Luke McCarty. Mountain View, California.",PHA 16 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000493,Lloyd Mason and Ina,1957-02-05,"Tupper, Gene","Lloyd Mason, head of transportation for Mountain View Elementary School District;Ina Mason (Mrs. Lloyd Mason) driver for Mountain View Elementary School District, California.",PHA P15 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000494,Lloyd Mason,1957-01-01,Unknown,"Lloyd Mason, on right, director of transportation for elementary school district. Mountain View, California.",PHA P15,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000495,Ina Mason,1954-09-09,Dan's Camera Shop,"Alicia Terry, Marge Plagman, Margaret Cornelius, Mildred MCatee, Charlotte Loftus, Florence Green, Ina Mason. Mountain View, California.",PHA P15 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000496,Lloyd and Ina Mason,1920-01-01,Boussum Photo,"Lloyd Mason and wife Ina Wright Mason. Mountain View, California.",PHA P15 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000497,Lloyd Mason on fire truck,1917-01-01,Unknown,"Lloyd Mason when he drove the fire truck for volunteer fireman. Mountain View, California.",PHA P15 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000498,William Mason,1920-01-01,Unknown,"Lloyd's dad was Mountain View engineer of water works, William Mason.",PHA P15 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000499,Kenneth Slater,1956-01-01,Unknown,"Kenneth Slater was one of the most beloved educational figures in Mountain View. He was an employee of Mountain View School District for 40 years. Born in 1893 in Alturas, Modoc County, he and his family came to the area in 1904 and he graduated from Mountain View HS in 1912. In 1956 the district named a new school on Whisman Rd for him. He died in 1971 at age 77.",PHA P23 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000500,Jeanette Slater,1930-01-01,Unknown,"Kenneth Slater's mother, Jeanette, and brother. Mountain View, California.",PHA P21,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000501,Kenneth Slater in Navy uniform,1914-01-01,Unknown,"Kenneth Slater. Mountain View, California.",PHA P21 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000502,Slater Brothers as kids,1899-01-01,Unknown,"Kenneth Slater and brother. Mother J.A. Slater, 696 Barley Ave. Mountain View, California.",PHA P21,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000503,"Kenneth Slater, age 1",1895-01-01,Unknown,"Kenneth N. Slater, age 1 year. Mountain View, California.",PHA P21 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000504,Slater Family,1895-01-01,E.E. Bosworth Photography,"The Slater family, for whom Slater Elementary School is named. Jeanette and Dan Slater with their three sons: Marion (4 years, 8mos), Kenneth (2 years, 4 mos), and Neil (1 year, 7 mos). Photographed in Mountain View, California.",PHA P21 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000505,Slater Brothers,1905-01-01,The Rex Studio,"Slater Brothers. Mountain View, California.",PHA P21 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000506,Thomas Rogers,1900-01-01,Unknown,"Thomas A. Rogers, 1845-1920. Mountain View, California.",PHA P20 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000507,Olive Pride Rogers and Thomas A. Rogers,1900-01-01,Unknown,"Olive Pride Rogers and Thomas A Rogers, grandparents of Prudence C (Cadwell) Rogers. Mountain View, California.",PHA P20 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000508,Prudence Cadwell and Horatio Cadwell,1930-01-01,Unknown,"Prudence and Horatio Cadwell, children of Richard G. Cadwell and his wife Susann Rogers Cadwell (the daughter of Thomas and Olive Rogers). Mountain View, California.",PHA P20 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000509,Gladys Rogers,1910-01-01,Bushnell Fotographer,"Gladys Rogers, daughter of Arthur Blake Rogers and his wife Drusilla Clark Rogers. Arthur B Rogers was in business with his uncle Tom Rogers - Rogers and Rogers. Gladys Rogers graduated Mountain View HS 1913. Mountain View, California.",PHA P20 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000510,Mr. and Mrs. Alvin Pride Rogers,1910-01-01,Unknown,"Mrs. and Mrs. Alvin Pride Rogers, the son of Thomas and Olive Rogers. She was Hattie Williams. Alvin Rogers was first Mountain View Treasurer after incorporation, served 1902-1914. Mountain View, California.",PHA P20 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000511,Tom Able Rogers,1900-01-01,Unknown,"Tom Able Rogers, father of Georgia Content Rogers;L to R: Orval Rogers (Oskosh, Fountain Farm Diary, Modesto);George Rogers (married Megan, New York);Henry Rogers (first to California, Lenzen Ave, San Jose);Thomas Able Rogers (children Georgia, Susie, Alvin, from Oshkosh 1887);George Rogers (Thomas Able's father, born and lived in Oshkosh). Mountain View, California.",PHA P20 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000512,Rogers Family,1880-01-01,Bushnell Fotographer,"Thomas Able Rogers, George Rogers, Henry Rogers. Mountain View, California.",PHA P20 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
